组织员办公室 zu'zhi'yuan'ban'gong'shi
党委宣传部 dang'wei'xuan'chuan'bu
薛蛟 xue'jiao
白璐 bai'lu
王佳琪 wang'jia'qi
芦晓珊 lu'xiao'shan
李响 li'xiang
校报编辑部 xiao'bao'bian'ji'bu
长大记者团 chang'da'ji'zhe'tuan
闻世博 wen'shi'bo
记者团 ji'zhe'tuan
党委统战部 dang'wei'tong'zhan'bu
党委教师工作部 dang'wei'jiao'shi'gong'zuo'bu
学生工作部 xue'sheng'gong'zuo'bu
机关党委 ji'guan'dang'wei
安全部 an'quan'bu
妇委会 fu'wei'hui
离退休工作处 li'tui'xiu'gong'zuo'chu
纪检监察机构 ji'jian'jian'cha'ji'gou
后勤党委 hou'qin'dang'wei
教辅党委 jiao'fu'dang'wei
学生工作处 xue'sheng'gong'zuo'chu
武装部 wu'zhuang'bu
易班发展中心 yi'ban'fa'zhan'zhong'xin
就业创业指导中心 jiu'ye'chuang'ye'zhi'dao'zhong'xin
地方合作处 di'fang'he'zuo'chu
校友工作办公室 xiao'you'gong'zuo'ban'gong'shi
教育基金会管理办公室 jiao'yu'ji'jin'hui'guan'li'ban'gong'shi
纪检监察机构 ji'jian'jian'cha'ji'gou
发展规划处 fa'zhan'gui'hua'chu
政策法规办公室 zheng'ce'fa'gui'ban'gong'shi
教务处 jiao'wu'chu
招生办公室 zhao'sheng'ban'gong'shi
研究生院 yan'jiu'sheng'yuan
学科建设办公室 xue'ke'jian'she'ban'gong'shi
研究生工作部 yan'jiu'sheng'gong'zuo'bu
科研处 ke'yan'chu
人事处 ren'shi'chu
人才工作办公室 ren'cai'gong'zuo'ban'gong'shi
离退休工作处 li'tui'xiu'gong'zuo'chu
国际合作与交流处 guo'ji'he'zuo'yu'jiao'liu'chu
港澳台事务办公室 gang'ao'tai'shi'wu'ban'gong'shi
计划财务处 ji'hua'cai'wu'chu
审计处 shen'ji'chu
安全处 an'quan'chu
综合治理办公室 zong'he'zhi'li'ban'gong'shi
国有资产与实验室管理处 guo'you'zi'chan'yu'shi'yan'shi'guan'li'chu
后勤保障处 hou'qin'bao'zhang'chu
图书馆 tu'shu'guan
信息化建设服务中心 xin'xi'hua'jian'she'fu'wu'zhong'xin
教师教学发展中心 jiao'shi'jiao'xue'fa'zhan'zhong'xin
学报编辑部 xue'bao'bian'ji'bu
招标采购中心 zhao'biao'cai'gou'zhong'xin
校医院 xiao'yi'yuan
大学生创新创业教育学院 da'xue'sheng'chuang'xin'chuang'ye'jiao'yu'xue'yuan
校园规划建设中心 xiao'yuan'gui'hua'jian'she'zhong'xin
档案馆 dang'an'guan
校史馆 xiao'shi'guan
丝路学院 si'lu'xue'yuan
心理健康教育中心 xin'li'jian'kang'jiao'yu'zhong'xin
莲花山教学实践基地 lian'hua'shan'jiao'xue'shi'jian'ji'di
国家大豆深加工技术研究推广中心 guo'jia'da'dou'shen'jia'gong'ji'shu'yan'jiu'tui'guang'zhong'xin
吉林省残疾人康复设备及技术工程研究中心 ji'lin'sheng'can'ji'ren'kang'fu'she'bei'ji'ji'shu'gong'cheng'yan'jiu'zhong'xin
吉林省普通高校农产品加工重点实验室 ji'lin'sheng'pu'tong'gao'xiao'nong'chan'pin'jia'gong'zhong'dian'shi'yan'shi
长春工业会计统计专门学校 chang'chun'gong'ye'hui'ji'tong'ji'zhuan'men'xue'xiao
吉林科技大学 ji'lin'ke'ji'da'xue
吉林机电专科学校 ji'lin'ji'dian'zhuan'ke'xue'xiao
长春外国语专科学校 chang'chun'wai'guo'yu'zhuan'ke'xue'xiao
长春职业大学 chang'chun'zhi'ye'da'xue
吉林省林业学校 ji'lin'sheng'lin'ye'xue'xiao
团风 tuan'feng
叶赛宁 ye'sai'ning
叶赛宁文化教育中心 ye'sai'ning'wen'hua'jiao'yu'zhong'xin
孙爱军 sun'ai'jun
李志瑶 li'zhi'yao
王剑飞 wang'jian'fei
巩英春 gong'ying'chun
曹国亮 cao'guo'liang
韩业 han'ye
周婷婷 zhou'ting'ting
孙大文 sun'da'wen
王德军 wang'de'jun
阳光助学联合会 yang'guang'zhu'xue'lian'he'hui
天霁 tian'ji
天霁动漫协会 tian'ji'dong'man'xie'hui
刀画协会 dao'hua'xie'hui
心语 xin'yu
心语志愿者 xin'yu'zhi'yuan'zhe
王绮 wang'qi
李庆丽 li'qing'li
王宇 wang'yu
左雷 zuo'lei
田甜 tian'tian
谢修鸿 xie'xiu'hong
王坤枫 wang'kun'feng
岳莉 yue'li
李桂英 li'gui'ying
于焱 yu'yan
张卓 zhang'zhuo
刘金玉 liu'jin'yu
王英霞 wang'ying'xia
姜巧 jiang'qiao
史勇 shi'yong
周秀华 zhou'xiu'hua
季宇 ji'yu
李未 li'wei
综合楼 zong'he'lou
六教 liu'jiao
二食堂 er'shi'tang
宝菲儿 bao'fei'er
宝菲儿复印社 bao'fei'er'fu'yin'she
绿之源 lv'zhi'yuan
绿之源水果捞 lv'zhi'yuan'shui'guo'lao
谊源 yi'yuan
谊源超市 yi'yuan'chao'shi
谊源水果捞 yi'yuan'shui'guo'lao
佟源记炸肉 tong'yuan'ji'zha'rou
佟源记 tong'yuan'ji
永信大药房 yong'xin'da'yao'fang
川锦汇 chuan'jin'hui
川锦汇麻辣拌 chuan'jin'hui'ma'la'ban
星城国际 xing'cheng'guo'ji
星城国际大厦 xing'cheng'guo'ji'da'sha
咖啡营地 ka'fei'ying'di
新世纪眼镜 xin'shi'ji'yan'jing
尝长长 chang'chang'chang
尝长长裤带面 chang'chang'chang'ku'dai'mian
金麦穗 jin'mai'sui
板烧厨房 ban'shao'chu'fang
和记卤肉饭 he'ji'lu'rou'fan
英子小吃 ying'zi'xiao'chi
英子朝族小吃 ying'zi'chao'zu'xiao'chi
昊研黄焖鸡 hao'yan'huang'men'ji
昊研 hao'yan
英图神舟 ying'tu'shen'zhou
长大炒饭王 chang'da'chao'fan'wang
国航洗浴 guo'hang'xi'yu
笑笑网咖 xiao'xiao'wang'ka
笑笑空间生活馆 xiao'xiao'kong'jian'sheng'huo'guan
集眠社 ji'mian'she
七工烤手 qi'gong'kao'shou
裤带面 ku'dai'mian
钛度 tai'du
钛度电竞 tai'du'dian'jing
