哀咕 ai'gu
扣门儿 kou'men'er
抠搜 kou'sou
口条 kou'tiao
裤兜子 ku'dou'zi
裤脚儿 ku'jiao'er
裤脚子 ku'jiao'zi
苦鲁布子 ku'lu'bu'zi
苦么菜 ku'me'cai
裤头儿 ku'tou'er
裤线 ku'xian
挎兜儿 kua'dou'er
快钩 kuai'gou
侩货 kuai'huo
快马力 kuai'ma'li
快马子 kuai'ma'zi
宽心面 kuan'xin'mian
奎马力 kui'ma'li
拉巴架子 la'ba'jia'zi
喇叭筒花儿 la'ba'tong'hua'er
拉邦套 la'bang'tao
拉不渣儿 la'bu'zha'er
拉倒 la'dao
拉哈墙儿 la'ha'qiang'er
拉海墙儿 la'hai'qiang'er
拉合辫儿 la'he'bian'er
拉拉菜 la'la'cai
拉拉蛄 la'la'gu
喇嘛墙儿 la'ma'qiang'er
拉末儿 la'mo'er
拉末了儿 la'mo'liao'er
拉皮儿 la'pi'er
拉网 la'wang
镴锡 la'xi
拉渣儿 la'zha'er
砬子 la'zi
来大飙 lai'da'biao
莱大飙 lai'da'biao
癞癞蛛 lai'lai'zhu
赖毛子 lai'mao'zi
懒汉鞋 lan'han'xie
郎猫 lang'mao
榔头网 lang'tou'wang
狼牙草 lang'ya'cao
老把头 lao'ba'tou
老白干儿 lao'bai'gan'er
老板子 lao'ban'zi
老鼻子 lao'bi'zi
老鼻子啦 lao'bi'zi'la
老鼻子了 lao'bi'zi'le
老苍子 lao'cang'zi
老臭 lao'chou
老地界儿 lao'di'jie'er
老吊 lao'diao
老嘎瘩 lao'ga'da
老赶 lao'gan
老根儿 lao'gen'er
老虎妈子 lao'hu'ma'zi
老虎皮儿 lao'hu'pi'er
老家儿 lao'jia'er
老家屁 lao'jia'pi
老家贼 lao'jia'zei
老家子 lao'jia'zi
唠嗑 lao'ke
老侩 lao'kuai
耢拉子 lao'la'zi
老老年儿 lao'lao'nian'er
老妈子 lao'ma'zi
老么卡刺眼 lao'me'ka'ci'yan
老么卡眼儿 lao'me'ka'yan'er
老面 lao'mian
老年间 lao'nian'jian
老牛闷儿 lao'niu'men'er
耢拍子 lao'pai'zi
老穷等 lao'qiong'deng
老少间儿 lao'shao'jian'er
老少屋儿 lao'shao'wu'er
老太太乐 lao'tai'tai'le
烙提 lao'ti
老天扒地 lao'tian'ba'di
老铁 lao'tie
老头儿乐 lao'tou'er'le
涝洼地 lao'wa'di
涝洼塘 lao'wa'tang
涝洼子 lao'wa'zi
老娃子 lao'wa'zi
老想挠 lao'xiang'nao
老鹞子 lao'yao'zi
老蟑 lao'zhang
耢子 lao'zi
勒得 le'de
勒勒蛛 le'le'zhu
勒特 le'te
乐意 le'yi
冷不丁 leng'bu'ding
冷丁 leng'ding
冷丁儿的 leng'ding'er'de
冷面 leng'mian
冷棚儿 leng'peng'er
冷棚子 leng'peng'zi
冷厦 leng'sha
冷山 leng'shan
冷子 leng'zi
塄子 leng'zi
力把儿 li'ba'er
里边旯 li'bian'la
里根儿楞 li'gen'er'leng
厉害 li'hai
利亮儿 li'liang'er
栗蓬 li'peng
利索 li'suo
利索儿的 li'suo'er'de
犁梭子 li'suo'zi
犁杖 li'zhang
立整 li'zheng
脸不是脸 lian'bu'shi'lian
连裆裤 lian'dang'ku
连根 lian'gen
连斤 lian'jin
连筋倒儿 lian'jin'dao'er
连汤面 lian'tang'mian
连替 lian'ti
连阴天儿 lian'yin'tian'er
连阴雨 lian'yin'yu
连雨天 lian'yu'tian
连子 lian'zi
量天尺 liang'tian'chi
亮子 liang'zi
撩扯 liao'che
撂荒地 liao'huang'di
撂脸子 liao'lian'zi
撩闲 liao'xian
缭檐边儿 liao'yan'bian'er
屪子 liao'zi
料子 liao'zi
列巴 lie'ba
列巴圈儿 lie'ba'quan'er
磷黄 lin'huang
临了儿 lin'liao'er
临末了儿 lin'mo'le'er
临秋末晚 lin'qiu'mo'wan
檩条儿 lin'tiao'er
临晚 lin'wan
零嘴儿 ling'zui'er
领嘴儿 ling'zui'er
溜哒 liu'da
柳蒿 liu'hao
柳蒿芽 liu'hao'ya
六六席 liu'liu'xi
溜须 liu'xu
溜子 liu'zi
镏子 liu'zi
龙房 long'fang
龙抬头 long'tai'tou
龙牙草 long'ya'cao
龙鹰 long'ying
搂场耙 lou'chang'ba
楼房 lou'fang
炉箅子 lu'bi'zi
庐墠 lu'chan
芦果 lu'guo
炉灰砟子 lu'hui'zha'zi
露脚腕儿 lu'jiao'wan'er
辘轳把 lu'lu'ba
辘轳把子 lu'lu'ba'zi
鲁蛮瞎臭 lu'man'xia'chou
庐深 lu'shen
卢头 lu'tou
萝卜剪子 luo'bo'jian'zi
萝卜裤 luo'bo'ku
捋钩 luo'gou
罗锅拔象 luo'guo'ba'xiang
罗罗蛛 luo'luo'zhu
螺丝刀子 luo'si'dao'zi
螺丝疙瘩 luo'si'ge'da
倮子 luo'zi
驴抄子 lv'chao'zi
驴搭哈儿 lv'da'ha'er
驴骡儿 lv'luo'er
驴胜 lv'sheng
嘛答 ma'da
麻刀子 ma'dao'zi
马多罗 ma'duo'luo
马粪包 ma'fen'bao
马胡卢 ma'hu'lu
马葫芦 ma'hu'lu
麻花儿布 ma'hua'er'bu
马架子 ma'jia'zi
马驹儿 ma'ju'er
妈灵 ma'ling
蚂蛉 ma'ling
麻溜 ma'liu
麻溜儿 ma'liu'er
麻溜儿地 ma'liu'er'di
马路牙子 ma'lu'ya'zi
马骡儿 ma'luo'er
马棚 ma'peng
蚂皮 ma'pi
马前子 ma'qian'zi
马蛇子 ma'she'zi
马神 ma'shen
麻堂 ma'tang
蚂替 ma'ti
蚂挑 ma'tiao
马牙石 ma'ya'shi
蚂蚁菜 ma'yi'cai
麻应人 ma'ying'ren
蚂蚱子 ma'zha'zi
麻爪儿了 ma'zhua'er'le
卖呆儿 mai'dai'er
埋了八汰 mai'le'ba'tai
埋了吧汰的 mai'le'ba'tai'de
埋了咕汰 mai'le'gu'tai
埋汰 mai'tai
慢点飘 man'dian'piao
漫岗地 man'gang'di
牤蛋子 mang'dan'zi
牤牛 mang'niu
牤牛蛋子 mang'niu'dan'zi
牤牛铧子 mang'niu'hua'zi
牤羊 mang'yang
牤羊羓把子 mang'yang'ba'ba'zi
牤子 mang'zi
毛茬儿 mao'cha'er
毛道儿 mao'dao'er
茅道子 mao'dao'zi
猫洞儿 mao'dong'er
猫耳朵 mao'er'duo
猫耳朵菜 mao'er'duo'cai
茅房 mao'fang
毛钩 mao'gou
猫咕咕 mao'gu'gu
毛磕 mao'ke
毛勒雨儿 mao'le'yu'er
毛愣 mao'leng
毛楞 mao'leng
毛楞三光 mao'leng'san'guang
毛愣雨儿 mao'leng'yu'er
毛楼 mao'lou
茅楼儿 mao'lou'er
毛驴子 mao'lv'zi
毛毛道儿 mao'mao'dao'er
毛毛雨 mao'mao'yu
毛衫儿 mao'shan'er
毛衫子 mao'shan'zi
茅屎道子 mao'shi'dao'zi
茅屎栏子 mao'shi'lan'zi
茅屎楼儿 mao'shi'lou'er
猫驼子 mao'tuo'zi
猫眼草 mao'yan'cao
冒烟儿雪 mao'yan'er'xue
毛莠 mao'you
猫爪子菜 mao'zhua'zi'cai
煤核儿 mei'hu'er
没事儿找事儿 mei'shi'er'zhao'shi'er
没事找事 mei'shi'zhao'shi
霉腥味儿 mei'xing'wei'er
没咒念 mei'zhou'nian
门把手儿 men'ba'shou'er
门鼻子 men'bi'zi
门搀 men'chan
门斗儿 men'dou'er
门划儿 men'hua'er
门划划儿 men'hua'hua'er
门扣子 men'kou'zi
门市房儿 men'shi'fang'er
门销杆儿 men'xiao'gan'er
蒙圈了 meng'quan'le
密板子 mi'ban'zi
蜜虫 mi'chong
迷魂阵 mi'hun'zhen
米猫 mi'mao
迷迷灯灯 mi'mi'deng'deng
米糁子 mi'shen'zi
米汤 mi'tang
面儿堆 mian'er'dui
棉花阮子 mian'hua'ruan'zi
面碱 mian'jian
面叫子 mian'jiao'zi
棉脑 mian'nao
面片儿 mian'pian'er
面起子 mian'qi'zi
棉水靰靴 mian'shui'wu'xue
面碎儿 mian'sui'er
面头 mian'tou
棉囤子 mian'tun'zi
棉靰靴 mian'wu'xue
面引子 mian'yin'zi
棉主腰子 mian'zhu'yao'zi
明儿 ming'er
明儿个 ming'er'ge
明叶儿菜 ming'ye'er'cai
末后了 mo'hou'le
磨叽 mo'ji
末了儿 mo'liao'er
磨盘 mo'pan
磨脐儿 mo'qi'er
磨脐子 mo'qi'zi
磨石 mo'shi
抹斜儿 mo'xie'er
抹斜子 mo'xie'zi
木坳 mu'ao
母儿 mu'er
木克楞 mu'ke'leng
木履 mu'lv
木头嘎嗒 mu'tou'ga'da
拿把 na'ba
哪边儿旯 na'bian'er'la
那边儿旯 na'bian'er'la
哪程子 na'cheng'zi
那程子 na'cheng'zi
拿奉 na'feng
哪噶嗒 na'ga'da
哪疙瘩 na'ge'da
那疙瘩 na'ge'da
哪疙儿 na'ge'er
那疙儿 na'ge'er
那哈 na'ha
那可不 na'ke'bu
哪旯块儿 na'la'kuai'er
那旯块儿 na'la'kuai'er
哪旯溜儿 na'la'liu'er
那旯溜儿 na'la'liu'er
呐了 na'le
那前儿 na'qian'er
南边儿旯 nan'bian'er'la
攮洞子 nang'dong'zi
攮灶子 nang'zao'zi
闹得慌 nao'de'huang
挠岗 nao'gang
挠岗了 nao'gang'le
挠岗子了 nao'gang'zi'le
脑瓜门子 nao'gua'men'zi
脑瓜子 nao'gua'zi
闹幕儿 nao'mu'er
闹死了 nao'si'le
闹听 nao'ting
闹挺 nao'ting
猱头 nao'tou
闹心 nao'xin
脑袖子 nao'xiu'zi
能歪 neng'wai
腻虫 ni'chong
你瞅啥 ni'chou'sha
泥蛋子 ni'dan'zi
泥娄块子 ni'lou'kuai'zi
泥抹子 ni'mo'zi
蔫吧 nian'ba
黏饼子 nian'bing'zi
黏豆包儿 nian'dou'bao'er
蔫儿吧的 nian'er'ba'de
年根儿 nian'gen'er
年根儿底下 nian'gen'er'di'xia
粘糊头 nian'hu'tou
念三七儿 nian'san'qi'er
年三十儿 nian'san'shi'er
黏团子 nian'tuan'zi
年五更 nian'wu'geng
鲇鱼囤 nian'yu'tun
鸟花 niao'hua
尿泥 niao'ni
鸟悄儿 niao'qiao'er
鸟悄儿的 niao'qiao'er'de
尿性 niao'xing
牛肝 niu'gan
牛卵子石 niu'luan'zi'shi
牛舌草 niu'she'cao
牛舌头 niu'she'tou
牛蹄筋儿 niu'ti'jin'er
扭头别棒 niu'tou'bie'bang
牛蝇子 niu'ying'zi
农田鞋 nong'tian'xie
暖山 nuan'shan
女猫 nv'mao
欧子 ou'zi
扒拉 pa'la
爬犁 pa'li
爬犁架子 pa'li'jia'zi
爬山秧 pa'shan'yang
旁边儿旯 pang'bian'er'la
旁风 pang'feng
跑腿子 pao'tui'zi
泡子 pao'zi
狍子屁股 pao'zi'pi'gu
棚子 peng'zi
匹儿片儿 pi'er'pian'er
皮儿片儿 pi'er'pian'er
披哩扑噜 pi'li'pu'lu
屁驴子 pi'lv'zi
片儿镐 pian'er'gao
偏厦子 pian'sha'zi
便宜娄搜 pian'yi'lou'sou
漂子 piao'zi
品叶 pin'ye
频嘴拉舌 pin'zui'la'she
平川地 ping'chuan'di
破马张飞 po'ma'zhang'fei
破闷儿 po'men'er
婆婆丁 po'po'ding
坡水 po'shui
破五儿 po'wu'er
铺衬 pu'chen
铺衬挠子 pu'chen'nao'zi
铺盖 pu'gai
扑勒蛾子 pu'le'e'zi
七吃喀嚓 qi'chi'ka'cha
七吃咯嚓 qi'chi'lo'cha
戚儿 qi'er
齐哈密 qi'ha'mi
汽酒 qi'jiu
七了咔嚓 qi'le'ka'cha
奇鹊 qi'que
起鹊 qi'que
齐刷儿地 qi'shua'er'di
齐算 qi'suan
起小儿 qi'xiao'er
起子 qi'zi
卡子 qia'zi
恰子 qia'zi
前半晌 qian'ban'shang
前边旯 qian'bian'la
欠不登 qian'bu'deng
鵮叨木 qian'dao'mu
欠儿不登 qian'er'bu'deng
欠儿蹬 qian'er'deng
前儿个 qian'er'ge
欠儿欠儿的 qian'er'qian'er'de
前房 qian'fang
前后脚儿 qian'hou'jiao'er
前趴子 qian'pa'zi
前晌儿 qian'shang'er
戗茬儿 qiang'cha'er
戗风 qiang'feng
抢子 qiang'zi
晴天漏儿 qing'tian'lou'er
轻铁 qing'tie
秋倔子 qiu'jue'zi
球裤 qiu'ku
球啦光叽 qiu'la'guang'ji
秋傻子 qiu'sha'zi
球衣 qiu'yi
曲咕 qu'gu
曲么菜 qu'me'cai
曲曲 qu'qu
曲蛇 qu'she
缺八辈德 que'ba'bei'de
雀儿 que'er
瓤搅 rang'jiao
绕尾巴兔儿 rao'wei'ba'tu'er
热特 re'te
热心肠儿 re'xin'chang'er
人七日 ren'qi'ri
人日子 ren'ri'zi
日日的 ri'ri'de
日头 ri'tou
日头爷儿 ri'tou'ye'er
肉瓤儿 rou'rang'er
如今晚儿 ru'jin'wan'er
乳猫 ru'mao
乳牛 ru'niu
软山 ruan'shan
瑞青 rui'qing
仨半斤儿 sa'ban'jin'er
萨赫力 sa'he'li
撒欢 sa'huan
撒欢儿 sa'huan'er
萨克萨 sa'ke'sa
撒马料扎 sa'ma'liao'zha
撒么 sa'me
撒鸭子 sa'ya'zi
赛脸 sai'lian
三白瓜 san'bai'gua
三不露 san'bu'lu
三出水儿 san'chu'shui'er
三点水儿 san'dian'shui'er
三十儿 san'shi'er
三十儿晚上 san'shi'er'wan'shang
三十儿下晚儿 san'shi'er'xia'wan'er
三十儿下晚儿黑儿 san'shi'er'xia'wan'er'hei'er
三星晌火 san'xing'shang'huo
丧门鸟儿 sang'men'niao'er
扫地土 sao'di'tu
骚忽子 sao'hu'zi
扫帚菜 sao'zhou'cai
扫帚蘑 sao'zhou'mo
沙耙 sha'ba
沙包 sha'bao
沙包子 sha'bao'zi
沙丐 sha'gai
沙肝儿 sha'gan'er
傻了八叽 sha'le'ba'ji
煞愣 sha'leng
煞楞 sha'leng
沙棱儿的 sha'leng'er'de
傻狍子 sha'pao'zi
啥前儿 sha'qian'er
啥事 sha'shi
啥事儿 sha'shi'er
沙坨子 sha'tuo'zi
厦子 sha'zi
沙子儿 sha'zi'er
沙子面 sha'zi'mian
色酒 shai'jiu
晒脸 shai'lian
晒台 shai'tai
色子块儿 shai'zi'kuai'er
山把头 shan'ba'tou
山半当腰儿 shan'ban'dang'yao'er
山半截腰儿 shan'ban'jie'yao'er
山半腰儿 shan'ban'yao'er
山苞米 shan'bao'mi
山葱 shan'cong
山顶 shan'ding
山丁子 shan'ding'zi
山豆根 shan'dou'gen
山根儿底下 shan'gen'er'di'xia
煽呼 shan'hu
山花子 shan'hua'zi
山火 shan'huo
山货 shan'huo
山尖儿 shan'jian'er
山梨 shan'li
山梨蛋子 shan'li'dan'zi
山狸子 shan'li'zi
山猫 shan'mao
山猫野兽儿 shan'mao'ye'shou'er
山炮 shan'pao
山葡萄 shan'pu'tao
山上 shan'shang
山参 shan'shen
山神爷 shan'shen'ye
山牲口 shan'sheng'kou
山跳儿 shan'tiao'er
上边儿旯 shang'bian'er'la
晌饭 shang'fan
上该 shang'gai
上杆子 shang'gan'zi
上赶子 shang'gan'zi
上哈 shang'ha
晌火 shang'huo
晌火饭 shang'huo'fan
晌火头儿 shang'huo'tou'er
晌火头子 shang'huo'tou'zi
上脸 shang'lian
上亮子 shang'liang'zi
上秋儿 shang'qiu'er
上扇儿 shang'shan'er
晌午头儿 shang'wu'tou'er
晌午头子 shang'wu'tou'zi
哨卡 shao'qia
哨子 shao'zi
舌头糕 she'tou'gao
什么前儿 shen'me'qian'er
神神叨叨 shen'shen'dao'dao
生性 sheng'xing
生性味儿 sheng'xing'wei'er
十冬腊月 shi'dong'la'yue
屎窖 shi'jiao
屎壳郎 shi'ke'lang
屎壳郎子 shi'ke'lang'zi
史拉布克 shi'la'bu'ke
手巴掌 shou'ba'zhang
手巴掌子 shou'ba'zhang'zi
手箍子 shou'gu'zi
手镏子 shou'liu'zi
手闷子 shou'men'zi
手指钳子 shou'zhi'qian'zi
手镯儿 shou'zhuo'er
秫秸障子 shu'jie'zhang'zi
耍磨磨丢 shua'mo'mo'diu
耍熊 shua'xiong
甩裆尿裤 shuai'dang'niao'ku
甩弯儿 shuai'wan'er
甩袖汤 shuai'xiu'tang
水叉 shui'cha
水裆尿裤 shui'dang'niao'ku
水洞 shui'dong
水豆腐 shui'dou'fu
水蛾子 shui'e'zi
水耗子 shui'hao'zi
水老鹳子 shui'lao'guan'zi
水了巴嚓 shui'le'ba'cha
水勒巴察 shui'le'ba'cha
水了吧唧 shui'le'ba'ji
水摸牛儿 shui'mo'niu'er
水泡子 shui'pao'zi
水皮儿 shui'pi'er
水梢 shui'shao
水趟尿裤 shui'tang'niao'ku
水蚊子 shui'wen'zi
水鞋 shui'xie
水锈 shui'xiu
水靴子 shui'xue'zi
水鸭子 shui'ya'zi
水印 shui'yin
水乍腊子 shui'zha'la'zi
水桩子 shui'zhuang'zi
顺茬儿 shun'cha'er
顺风儿 shun'feng'er
四大扇儿 si'da'shan'er
死裆裤 si'dang'ku
丝挂子 si'gua'zi
丝络儿 si'luo'er
死乞白列 si'qi'bai'lie
四圈儿 si'quan'er
斯斯哈哈 si'si'ha'ha
四眼儿 si'yan'er
苏巴汤 su'ba'tang
酸泔水 suan'gan'shui
蒜么纥达 suan'me'he'da
酸气味儿 suan'qi'wei'er
蒜茄子 suan'qie'zi
酸汤子 suan'tang'zi
酸楂 suan'zha
碎布耷撒儿 sui'bu'da'sa'er
嗍嘞蜜 suo'le'mi
塔墩子 ta'dun'zi
塔灰儿 ta'hui'er
趿拉板儿 ta'la'ban'er
趿拉鞋儿 ta'la'xie'er
塔头 ta'tou
塔头甸子 ta'tou'dian'zi
塔头墩子 ta'tou'dun'zi
塔头沟子 ta'tou'gou'zi
塔头灰儿 ta'tou'hui'er
塔头缨子 ta'tou'ying'zi
抬方 tai'fang
抬筐 tai'kuang
胎歪 tai'wai
糖包儿 tang'bao'er
堂地 tang'di
趟钩 tang'gou
糖角儿 tang'jue'er
糖梨子 tang'li'zi
趟绒 tang'rong
糖三角儿 tang'san'jiao'er
糖蒜 tang'suan
趟趟马 tang'tang'ma
趟趟牛 tang'tang'niu
堂屋地 tang'wu'di
糖油面片儿 tang'you'mian'pian'er
汤子 tang'zi
趟子蘑 tang'zi'mo
趟子绒 tang'zi'rong
掏扒 tao'ba
掏儿 tao'er
掏掏儿 tao'tao'er
掏瞎 tao'xia
体登人 ti'deng'ren
体腾 ti'teng
天儿 tian'er
天井院儿 tian'jing'yuan'er
天星星 tian'xing'xing
甜星星 tian'xing'xing
跳儿 tiao'er
挑杆儿 tiao'gan'er
挑筐 tiao'kuang
跳猫儿 tiao'mao'er
跳猫子 tiao'mao'zi
跳挣 tiao'zheng
跳子 tiao'zi
贴兜儿 tie'dou'er
铁脚子网 tie'jiao'zi'wang
铁末子 tie'mo'zi
贴晌 tie'shang
贴晌饭 tie'shang'fan
贴树皮 tie'shu'pi
铁子 tie'zi
捅楼子 tong'lou'zi
捅漏子 tong'lou'zi
头半响儿 tou'ban'xiang'er
头刚儿 tou'gang'er
头卡儿 tou'ka'er
头年儿 tou'nian'er
头卡子 tou'qia'zi
头前儿 tou'qian'er
头上 tou'shang
头晌儿 tou'shang'er
头绳儿 tou'sheng'er
头蹄下水 tou'ti'xia'shui
头午 tou'wu
土包子 tu'bao'zi
图毕 tu'bi
土瘪 tu'bie
土车子 tu'che'zi
秃呼鲁 tu'hu'lu
土井 tu'jing
土坷拉 tu'ke'la
土垃坷 tu'la'ke
土拉坷垃 tu'la'ke'la
土篮儿 tu'lan'er
土篮子 tu'lan'zi
土了卡 tu'le'ka
秃了扣子 tu'le'kou'zi
土塄子 tu'leng'zi
秃噜 tu'lu
突掳 tu'lu
秃撸反涨 tu'lu'fan'zhang
突鲁反仗 tu'lu'fan'zhang
土鲁疙头 tu'lu'ge'tou
土鲁块 tu'lu'kuai
吐噜皮 tu'lu'pi
土丘子 tu'qiu'zi
土球子 tu'qiu'zi
兔子不拉屎 tu'zi'bu'la'shi
兔子拐棍儿 tu'zi'guai'gun'er
团瓢儿 tuan'piao'er
团瓢子 tuan'piao'zi
腿绑 tui'bang
腿带子 tui'dai'zi
腿蓬 tui'peng
腿卡子 tui'qia'zi
褪土牛儿 tui'tu'niu'er
褪袖子 tui'xiu'zi
屯部儿 tun'bu'er
屯儿 tun'er
豚儿 tun'er
屯基 tun'ji
屯子 tun'zi
豚子 tun'zi
拖耙 tuo'ba
驼拉腰子 tuo'la'yao'zi
妥了 tuo'le
拖耙子 tuo'pa'zi
托盆儿 tuo'pen'er
驼腰子 tuo'yao'zi
洼兜儿 wa'dou'er
洼牛儿 wa'niu'er
外边旯 wai'bian'la
外地 wai'di
歪瓜咧枣儿 wai'gua'lie'zao'er
外后天 wai'hou'tian
歪头别棒 wai'tou'bie'bang
外图 wai'tu
外图地 wai'tu'di
外屋地 wai'wu'di
弯头别棒 wan'tou'bie'bang
玩意 wan'yi
玩应 wan'ying
王八炕 wang'ba'kang
望权 wang'quan
往上年 wang'shang'nian
喂大罗 wei'da'luo
未的罗 wei'de'luo
苇笠 wei'li
苇帘头儿 wei'lian'tou'er
苇芦子根 wei'lu'zi'gen
胃气味儿 wei'qi'wei'er
卫生裤 wei'sheng'ku
卫生衣 wei'sheng'yi
围嘴儿 wei'zui'er
围嘴子 wei'zui'zi
纹道儿 wen'dao'er
文火儿 wen'huo'er
纹溜儿 wen'liu'er
窝拉兜子 wo'la'dou'zi
窝拉蜷儿 wo'la'quan'er
乌抄 wu'chao
五吹六哨 wu'chui'liu'shao
五冬六夏 wu'dong'liu'xia
五方六月 wu'fang'liu'yue
五风六月 wu'feng'liu'yue
五黄六月 wu'huang'liu'yue
屋脊六兽 wu'ji'liu'shou
无机六受 wu'ji'liu'shou
无机六瘦 wu'ji'liu'shou
乌拉草 wu'la'cao
雾拉毛子 wu'la'mao'zi
乌了巴涂 wu'le'ba'tu
乌了巴突的 wu'le'ba'tu'de
兀辘 wu'lu
兀辘把 wu'lu'ba
乌鲁麻子 wu'lu'ma'zi
乌鲁毛子 wu'lu'mao'zi
舞马长枪 wu'ma'chang'qiang
五迷三道 wu'mi'san'dao
乌牛 wu'niu
乌涂水 wu'tu'shui
舞舞圈圈 wu'wu'quan'quan
武武玄玄 wu'wu'xuan'xuan
五月节 wu'yue'jie
舞爪龙 wu'zhao'long
西边儿旯 xi'bian'er'la
稀罕 xi'han
稀烂贱 xi'lan'jian
习里马哈 xi'li'ma'ha
稀里马哈 xi'li'ma'ha
锡溜 xi'liu
惜命 xi'ming
戏匣子 xi'xia'zi
细痒 xi'yang
蟢蛛儿 xi'zhu'er
蟢蛛蛛儿 xi'zhu'zhu'er
下巴壳子 xia'ba'ke'zi
瞎笨杵子 xia'ben'chu'zi
下边儿旯 xia'bian'er'la
瞎蛋子 xia'dan'zi
瞎粪杵子 xia'fen'chu'zi
下哈 xia'ha
下黑 xia'hei
虾糠 xia'kang
瞎咧咧 xia'lie'lie
瞎蠓 xia'meng
瞎摸儿 xia'mo'er
虾皮儿 xia'pi'er
下扇儿 xia'shan'er
下晌儿 xia'shang'er
下水 xia'shui
下洼地 xia'wa'di
下晚儿饭 xia'wan'er'fan
下晚儿黑儿 xia'wan'er'hei'er
下屋 xia'wu
下屋儿 xia'wu'er
下屋棚子 xia'wu'peng'zi
瞎眼儿蠓 xia'yan'er'meng
下扎 xia'zha
瞎站子 xia'zhan'zi
瞎整 xia'zheng
显摆 xian'bai
线儿蛇 xian'er'she
线儿绨 xian'er'ti
咸瓜子 xian'gua'zi
仙鹤草 xian'he'cao
现前儿 xian'qian'er
陷洼地 xian'wa'di
想嘎哈 xiang'ga'ha
香瓜儿 xiang'gua'er
香瓜子 xiang'gua'zi
香味儿菜 xiang'wei'er'cai
响窑 xiang'yao
香油保子 xiang'you'bao'zi
香油儿 xiang'you'er
想咋地 xiang'za'di
向着 xiang'zhe
小袄子 xiao'ao'zi
小饽饽 xiao'bo'bo
小店儿 xiao'dian'er
小豆腐儿 xiao'dou'fu'er
小肥猪儿 xiao'fei'zhu'er
小嘎儿 xiao'ga'er
小根蒜 xiao'gen'suan
小褂 xiao'gua
小锅儿 xiao'guo'er
小哈子 xiao'ha'zi
小荷包儿 xiao'he'bao'er
小红牛儿 xiao'hong'niu'er
小黄米 xiao'huang'mi
小灰 xiao'hui
小鸡儿 xiao'ji'er
小抠 xiao'kou
小抠儿 xiao'kou'er
小脸子 xiao'lian'zi
小龙儿 xiao'long'er
小米子 xiao'mi'zi
小摸儿 xiao'mo'er
小末末渣儿 xiao'mo'mo'zha'er
肖你 xiao'ni
小清雪儿 xiao'qing'xue'er
小人儿糖 xiao'ren'er'tang
小晌火 xiao'shang'huo
消停 xiao'ting
小咬儿 xiao'yao'er
小月子 xiao'yue'zi
小灶儿 xiao'zao'er
蝎虎 xie'hu
邪乎 xie'hu
鞋趿拉儿 xie'ta'la'er
鞋头袜脑儿 xie'tou'wa'nao'er
斜鱼子 xie'yu'zi
兴许 xing'xu
熊人 xiong'ren
熊瞎子 xiong'xia'zi
熊样儿 xiong'yang'er
须笼 xu'long
虚头巴脑 xu'tou'ba'nao
旋儿风 xuan'er'feng
悬乎 xuan'hu
悬呼 xuan'hu
旋网 xuan'wang
血脖子 xue'bo'zi
血乎 xue'hu
血糊淋啦 xue'hu'lin'la
血见愁 xue'jian'chou
雪壳子 xue'ke'zi
血了糊连 xue'le'hu'lian
雪檩子 xue'lin'zi
踅摸 xue'mo
学生蓝 xue'sheng'lan
雪珠子 xue'zhu'zi
靴子头儿 xue'zi'tou'er
寻思 xun'si
压把子井 ya'ba'zi'jing
压茬儿 ya'cha'er
牙碜 ya'chen
牙狗 ya'gou
压马路 ya'ma'lu
牙猫 ya'mao
鸦鹊儿 ya'que'er
压压葫芦 ya'ya'hu'lu
鸭崽儿 ya'zai'er
鸭崽子 ya'zai'zi
牙子 ya'zi
鸭子儿 ya'zi'er
燕别蝠 yan'bie'fu
燕别虎 yan'bie'hu
烟蒂巴儿 yan'di'ba'er
雁鹅 yan'e
雁儿蠓 yan'er'meng
烟儿炮 yan'er'pao
烟根儿 yan'gen'er
沿沟 yan'gou
烟荷包疙瘩 yan'he'bao'ge'da
盐酱儿 yan'jiang'er
眼泪巴叉 yan'lei'ba'cha
眼力价 yan'li'jia
眼力见儿 yan'li'jian'er
盐粒子 yan'li'zi
沿流水 yan'liu'shui
燕么虎儿 yan'me'hu'er
眼目前儿 yan'mu'qian'er
眼皮底下 yan'pi'di'xia
烟屁股 yan'pi'gu
眼气 yan'qi
眼时 yan'shi
烟筒桥子 yan'tong'qiao'zi
烟悠儿 yan'you'er
扬的二正 yang'de'er'zheng
洋钉儿 yang'ding'er
洋钉子 yang'ding'zi
羊羔子 yang'gao'zi
洋灰 yang'hui
洋鸡 yang'ji
洋剪子 yang'jian'zi
洋井 yang'jing
洋瘌子 yang'la'zi
杨了二正 yang'le'er'zheng
羊奶子 yang'nai'zi
羊耙子 yang'pa'zi
扬权 yang'quan
羊扇子 yang'shan'zi
洋铁片子 yang'tie'pian'zi
洋瓦 yang'wa
洋烟 yang'yan
洋油 yang'you
妖道 yao'dao
腰条儿 yao'tiao'er
腰子筐 yao'zi'kuang
野参 ye'can
野甸子 ye'dian'zi
夜儿个 ye'er'ge
夜个儿 ye'ge'er
夜后黑儿 ye'hou'hei'er
夜来 ye'lai
夜来后晌 ye'lai'hou'shang
夜来后晌儿 ye'lai'hou'shang'er
夜猫子 ye'mao'zi
野牲口 ye'sheng'kou
野跳儿 ye'tiao'er
叶子烟 ye'zi'yan
一把抓儿 yi'ba'zhua'er
一边儿旯 yi'bian'er'la
